model,ablation,bucket,rows,median_abs_gold_diff,auc_full,auc_ablated,auc_gap,auc_retained_pct,ci_low,ci_high,n_boot
XGBoost,no_objectives,close,34873,732.0,0.6671,0.6547,0.0125,0.9813,0.0054,0.0195,1000
XGBoost,no_objectives,medium,18223,4254.0,0.8984,0.888,0.0104,0.9884,0.0043,0.0161,1000
XGBoost,no_objectives,blowout,6115,9550.0,0.9908,0.9893,0.0015,0.9985,-0.0019,0.005,1000
XGBoost,no_structures,close,34873,732.0,0.6671,0.6674,-0.0003,1.0005,-0.0009,0.0003,1000
XGBoost,no_structures,medium,18223,4254.0,0.8984,0.8982,0.0002,0.9998,-0.0004,0.0008,1000
XGBoost,no_structures,blowout,6115,9550.0,0.9908,0.9908,0.0001,0.9999,-0.0007,0.0008,1000
XGBoost,only_economy,close,34873,732.0,0.6671,0.6541,0.013,0.9805,0.0048,0.021,1000
XGBoost,only_economy,medium,18223,4254.0,0.8984,0.8871,0.0113,0.9875,0.0052,0.0177,1000
XGBoost,only_economy,blowout,6115,9550.0,0.9908,0.9894,0.0015,0.9985,-0.0017,0.0046,1000
XGBoost,only_objectives,close,34873,732.0,0.6671,0.5969,0.0702,0.8947,0.0565,0.0847,1000
XGBoost,only_objectives,medium,18223,4254.0,0.8984,0.8622,0.0362,0.9597,0.0284,0.0447,1000
XGBoost,only_objectives,blowout,6115,9550.0,0.9908,0.9866,0.0042,0.9958,0.0018,0.007,1000
LogisticRegression,no_objectives,close,34873,732.0,0.6691,0.6589,0.0102,0.9848,0.0013,0.0188,1000
LogisticRegression,no_objectives,medium,18223,4254.0,0.9,0.891,0.009,0.99,0.0042,0.0143,1000
LogisticRegression,no_objectives,blowout,6115,9550.0,0.9928,0.992,0.0007,0.9993,-0.0008,0.0023,1000
LogisticRegression,no_structures,close,34873,732.0,0.6691,0.669,0.0001,0.9999,-0.0014,0.0015,1000
LogisticRegression,no_structures,medium,18223,4254.0,0.9,0.8995,0.0005,0.9995,-0.0008,0.0018,1000
LogisticRegression,no_structures,blowout,6115,9550.0,0.9928,0.9928,-0.0,1.0,-0.0008,0.0006,1000
LogisticRegression,only_economy,close,34873,732.0,0.6691,0.6536,0.0155,0.9768,0.0051,0.0258,1000
LogisticRegression,only_economy,medium,18223,4254.0,0.9,0.8877,0.0123,0.9864,0.006,0.0181,1000
LogisticRegression,only_economy,blowout,6115,9550.0,0.9928,0.9917,0.0011,0.9989,-0.0012,0.0037,1000
LogisticRegression,only_objectives,close,34873,732.0,0.6691,0.5993,0.0698,0.8957,0.0578,0.0822,1000
LogisticRegression,only_objectives,medium,18223,4254.0,0.9,0.8628,0.0372,0.9587,0.0294,0.0452,1000
LogisticRegression,only_objectives,blowout,6115,9550.0,0.9928,0.9877,0.0051,0.9949,0.0027,0.0083,1000
