model,ablation,rank,rows,matches,auc_full,auc_ablated,auc_gap,auc_retained_pct,ci_low,ci_high,n_boot
XGBoost,no_objectives,IRON,5991,191,0.8271,0.8207,0.0064,0.9922,-0.008,0.0203,1000
XGBoost,no_objectives,BRONZE,6319,199,0.8029,0.7919,0.011,0.9863,-0.0005,0.0227,1000
XGBoost,no_objectives,SILVER,6952,209,0.7525,0.7501,0.0024,0.9968,-0.0093,0.0166,1000
XGBoost,no_objectives,GOLD,6431,198,0.8385,0.8345,0.004,0.9952,-0.006,0.0139,1000
XGBoost,no_objectives,PLATINUM,6643,214,0.8368,0.825,0.0118,0.9859,0.0033,0.0206,1000
XGBoost,no_objectives,EMERALD,5986,194,0.8597,0.8512,0.0085,0.9902,-0.0012,0.0185,1000
XGBoost,no_objectives,DIAMOND,6068,197,0.7982,0.791,0.0072,0.9909,-0.0034,0.017,1000
XGBoost,no_objectives,MASTER,5782,195,0.8054,0.7989,0.0065,0.9919,-0.0031,0.0171,1000
XGBoost,no_objectives,GRANDMASTER,5788,206,0.8375,0.8389,-0.0014,1.0016,-0.01,0.0079,1000
XGBoost,no_objectives,CHALLENGER,3282,117,0.7858,0.7842,0.0016,0.998,-0.0117,0.0156,1000
XGBoost,no_structures,IRON,5991,191,0.8271,0.8272,-0.0001,1.0001,-0.0013,0.0012,1000
XGBoost,no_structures,BRONZE,6319,199,0.8029,0.803,-0.0001,1.0001,-0.0011,0.0008,1000
XGBoost,no_structures,SILVER,6952,209,0.7525,0.7533,-0.0007,1.001,-0.0018,0.0003,1000
XGBoost,no_structures,GOLD,6431,198,0.8385,0.8392,-0.0007,1.0009,-0.0017,0.0002,1000
XGBoost,no_structures,PLATINUM,6643,214,0.8368,0.8368,0.0,1.0,-0.0009,0.0009,1000
XGBoost,no_structures,EMERALD,5986,194,0.8597,0.8597,-0.0001,1.0001,-0.0008,0.0006,1000
XGBoost,no_structures,DIAMOND,6068,197,0.7982,0.7977,0.0005,0.9994,-0.0004,0.0013,1000
XGBoost,no_structures,MASTER,5782,195,0.8054,0.8053,0.0001,0.9999,-0.0008,0.0009,1000
XGBoost,no_structures,GRANDMASTER,5788,206,0.8375,0.8373,0.0002,0.9998,-0.0008,0.0011,1000
XGBoost,no_structures,CHALLENGER,3282,117,0.7858,0.785,0.0008,0.999,-0.0005,0.0022,1000
XGBoost,only_economy,IRON,5991,191,0.8271,0.8193,0.0078,0.9906,-0.0076,0.0216,1000
XGBoost,only_economy,BRONZE,6319,199,0.8029,0.7938,0.0091,0.9887,-0.0037,0.0219,1000
XGBoost,only_economy,SILVER,6952,209,0.7525,0.7521,0.0004,0.9994,-0.0147,0.0158,1000
XGBoost,only_economy,GOLD,6431,198,0.8385,0.8329,0.0056,0.9933,-0.0058,0.017,1000
XGBoost,only_economy,PLATINUM,6643,214,0.8368,0.8223,0.0145,0.9826,0.0049,0.0242,1000
XGBoost,only_economy,EMERALD,5986,194,0.8597,0.85,0.0097,0.9888,-0.0012,0.0201,1000
XGBoost,only_economy,DIAMOND,6068,197,0.7982,0.7941,0.004,0.9949,-0.0074,0.0147,1000
XGBoost,only_economy,MASTER,5782,195,0.8054,0.7958,0.0095,0.9881,-0.0017,0.0216,1000
XGBoost,only_economy,GRANDMASTER,5788,206,0.8375,0.8387,-0.0012,1.0014,-0.011,0.0081,1000
XGBoost,only_economy,CHALLENGER,3282,117,0.7858,0.7833,0.0025,0.9969,-0.0132,0.0181,1000
XGBoost,only_objectives,IRON,5991,191,0.8271,0.7732,0.0539,0.9349,0.0212,0.0867,1000
XGBoost,only_objectives,BRONZE,6319,199,0.8029,0.7728,0.0301,0.9625,0.0025,0.0586,1000
XGBoost,only_objectives,SILVER,6952,209,0.7525,0.6955,0.057,0.9243,0.021,0.0894,1000
XGBoost,only_objectives,GOLD,6431,198,0.8385,0.8073,0.0312,0.9628,0.0105,0.0538,1000
XGBoost,only_objectives,PLATINUM,6643,214,0.8368,0.7993,0.0375,0.9551,0.0163,0.061,1000
XGBoost,only_objectives,EMERALD,5986,194,0.8597,0.794,0.0656,0.9237,0.0404,0.0934,1000
XGBoost,only_objectives,DIAMOND,6068,197,0.7982,0.7594,0.0388,0.9513,0.0104,0.0684,1000
XGBoost,only_objectives,MASTER,5782,195,0.8054,0.7522,0.0531,0.9341,0.0301,0.0743,1000
XGBoost,only_objectives,GRANDMASTER,5788,206,0.8375,0.7648,0.0726,0.9133,0.0496,0.0956,1000
XGBoost,only_objectives,CHALLENGER,3282,117,0.7858,0.7092,0.0765,0.9026,0.0367,0.1145,1000
LogisticRegression,no_objectives,IRON,5991,191,0.8321,0.8251,0.007,0.9916,-0.0091,0.023,1000
LogisticRegression,no_objectives,BRONZE,6319,199,0.8073,0.7958,0.0116,0.9857,-0.0032,0.0272,1000
LogisticRegression,no_objectives,SILVER,6952,209,0.7614,0.7624,-0.001,1.0013,-0.0173,0.0175,1000
LogisticRegression,no_objectives,GOLD,6431,198,0.8484,0.8445,0.0039,0.9954,-0.0076,0.0161,1000
LogisticRegression,no_objectives,PLATINUM,6643,214,0.8389,0.826,0.0129,0.9846,0.0011,0.0252,1000
LogisticRegression,no_objectives,EMERALD,5986,194,0.8543,0.8502,0.0042,0.9951,-0.0071,0.015,1000
LogisticRegression,no_objectives,DIAMOND,6068,197,0.7959,0.7876,0.0083,0.9896,-0.0039,0.0199,1000
LogisticRegression,no_objectives,MASTER,5782,195,0.8001,0.7922,0.008,0.9901,-0.0043,0.021,1000
LogisticRegression,no_objectives,GRANDMASTER,5788,206,0.8326,0.834,-0.0014,1.0017,-0.0124,0.0097,1000
LogisticRegression,no_objectives,CHALLENGER,3282,117,0.7861,0.7918,-0.0057,1.0073,-0.024,0.013,1000
LogisticRegression,no_structures,IRON,5991,191,0.8321,0.8332,-0.0011,1.0013,-0.0031,0.0007,1000
LogisticRegression,no_structures,BRONZE,6319,199,0.8073,0.8086,-0.0013,1.0016,-0.0042,0.0013,1000
LogisticRegression,no_structures,SILVER,6952,209,0.7614,0.7584,0.0031,0.996,-0.0004,0.0066,1000
LogisticRegression,no_structures,GOLD,6431,198,0.8484,0.8488,-0.0004,1.0004,-0.0034,0.0029,1000
LogisticRegression,no_structures,PLATINUM,6643,214,0.8389,0.8391,-0.0002,1.0003,-0.0023,0.0019,1000
LogisticRegression,no_structures,EMERALD,5986,194,0.8543,0.8542,0.0001,0.9998,-0.0026,0.0025,1000
LogisticRegression,no_structures,DIAMOND,6068,197,0.7959,0.7947,0.0011,0.9986,-0.0018,0.004,1000
LogisticRegression,no_structures,MASTER,5782,195,0.8001,0.8,0.0001,0.9998,-0.0016,0.002,1000
LogisticRegression,no_structures,GRANDMASTER,5788,206,0.8326,0.833,-0.0004,1.0005,-0.0017,0.0008,1000
LogisticRegression,no_structures,CHALLENGER,3282,117,0.7861,0.7885,-0.0024,1.0031,-0.0058,0.0005,1000
LogisticRegression,only_economy,IRON,5991,191,0.8321,0.8237,0.0084,0.9899,-0.011,0.0284,1000
LogisticRegression,only_economy,BRONZE,6319,199,0.8073,0.7929,0.0145,0.9821,-0.0029,0.0317,1000
LogisticRegression,only_economy,SILVER,6952,209,0.7614,0.7511,0.0103,0.9864,-0.0106,0.0342,1000
LogisticRegression,only_economy,GOLD,6431,198,0.8484,0.8366,0.0118,0.9861,-0.0026,0.025,1000
LogisticRegression,only_economy,PLATINUM,6643,214,0.8389,0.821,0.0178,0.9788,0.0021,0.0319,1000
LogisticRegression,only_economy,EMERALD,5986,194,0.8543,0.8495,0.0049,0.9943,-0.0094,0.0192,1000
LogisticRegression,only_economy,DIAMOND,6068,197,0.7959,0.7881,0.0078,0.9902,-0.0088,0.0233,1000
LogisticRegression,only_economy,MASTER,5782,195,0.8001,0.793,0.0072,0.991,-0.0076,0.0222,1000
LogisticRegression,only_economy,GRANDMASTER,5788,206,0.8326,0.8404,-0.0078,1.0094,-0.0221,0.0064,1000
LogisticRegression,only_economy,CHALLENGER,3282,117,0.7861,0.78,0.0061,0.9923,-0.0179,0.0304,1000
LogisticRegression,only_objectives,IRON,5991,191,0.8321,0.7744,0.0577,0.9306,0.0312,0.0846,1000
LogisticRegression,only_objectives,BRONZE,6319,199,0.8073,0.7739,0.0334,0.9586,0.0095,0.0587,1000
LogisticRegression,only_objectives,SILVER,6952,209,0.7614,0.7062,0.0552,0.9275,0.0267,0.0814,1000
LogisticRegression,only_objectives,GOLD,6431,198,0.8484,0.801,0.0474,0.9441,0.0283,0.069,1000
LogisticRegression,only_objectives,PLATINUM,6643,214,0.8389,0.8023,0.0366,0.9564,0.0179,0.0566,1000
LogisticRegression,only_objectives,EMERALD,5986,194,0.8543,0.799,0.0554,0.9352,0.0333,0.0778,1000
LogisticRegression,only_objectives,DIAMOND,6068,197,0.7959,0.7617,0.0342,0.9571,0.0085,0.0618,1000
LogisticRegression,only_objectives,MASTER,5782,195,0.8001,0.7547,0.0455,0.9432,0.0228,0.0656,1000
LogisticRegression,only_objectives,GRANDMASTER,5788,206,0.8326,0.7703,0.0624,0.9251,0.0385,0.0857,1000
LogisticRegression,only_objectives,CHALLENGER,3282,117,0.7861,0.7129,0.0732,0.9069,0.0392,0.11,1000
