model,variant,n_features,accuracy,auc,baseline_accuracy,best_iteration,brier,log_loss
XGBoost,full,155,0.7228,0.8156,0.5113,185,0.1743,0.5141
XGBoost,no_economy,121,0.7171,0.8073,0.5113,267,0.1781,0.5239
XGBoost,no_objectives,141,0.718,0.809,0.5113,184,0.1774,0.5228
XGBoost,no_structures,149,0.7231,0.8157,0.5113,176,0.1743,0.5143
XGBoost,no_epic_monsters,147,0.7174,0.8091,0.5113,166,0.1773,0.5225
XGBoost,only_economy,35,0.7175,0.8087,0.5113,273,0.1775,0.5225
XGBoost,only_objectives,15,0.678,0.7657,0.5113,230,0.1945,0.5671
XGBoost,only_structures,7,0.6494,0.7264,0.5113,125,0.2089,0.6021
XGBoost,only_epic_monsters,9,0.6448,0.7207,0.5113,272,0.2106,0.6059
XGBoost,team_level_only,45,0.7231,0.8145,0.5113,419,0.1749,0.516
XGBoost,role_level_only,143,0.7193,0.812,0.5113,325,0.1757,0.5175
LogisticRegression,full,155,0.724,0.8173,0.5113,,0.1734,0.5108
LogisticRegression,no_economy,121,0.7203,0.8113,0.5113,,0.1762,0.5185
LogisticRegression,no_objectives,141,0.7193,0.8114,0.5113,,0.1762,0.5189
LogisticRegression,no_structures,149,0.7238,0.8173,0.5113,,0.1734,0.5109
LogisticRegression,no_epic_monsters,147,0.7198,0.8113,0.5113,,0.1762,0.5188
LogisticRegression,only_economy,35,0.7166,0.8083,0.5113,,0.1776,0.5223
LogisticRegression,only_objectives,15,0.6796,0.7685,0.5113,,0.1932,0.5632
LogisticRegression,only_structures,7,0.6545,0.7351,0.5113,,0.2059,0.5938
LogisticRegression,only_epic_monsters,9,0.6457,0.7197,0.5113,,0.2113,0.6082
LogisticRegression,team_level_only,45,0.7231,0.8155,0.5113,,0.1743,0.5132
LogisticRegression,role_level_only,143,0.7239,0.8173,0.5113,,0.1734,0.5108
