feature,coefficient,abs_coefficient
dragons_diff,0.4016423793886077,0.4016423793886077
team_total_gold_diff,0.35315486138110924,0.35315486138110924
bot_total_gold_diff,0.23997074758691553,0.23997074758691553
nexus_towers_diff,-0.2056560106523581,0.2056560106523581
jg_level_diff,0.18882082811281992,0.18882082811281992
team_damage_done_to_champions_diff_delta_3min,0.1850745505702271,0.1850745505702271
jg_total_gold_diff,0.17085059385038792,0.17085059385038792
mid_level_diff,0.1642713113765039,0.1642713113765039
top_total_gold_diff,0.15434896459644137,0.15434896459644137
mid_total_gold_diff,0.15061476279770214,0.15061476279770214
bot_level_diff,0.1351835100411779,0.1351835100411779
sup_kills_diff,-0.12723644534953799,0.12723644534953799
top_level_diff,0.110382646579356,0.110382646579356
sup_total_gold_diff,0.1061166565678813,0.1061166565678813
barons_diff_delta_3min,0.09996256796457584,0.09996256796457584
plates_diff,0.09071240909799773,0.09071240909799773
jg_xp_diff,-0.08985659699908359,0.08985659699908359
jg_jungle_minions_killed_diff_delta_3min,0.08761723301489324,0.08761723301489324
top_kills_diff,0.08143394769329719,0.08143394769329719
team_damage_done_to_champions_diff,-0.07223583728115252,0.07223583728115252
top_inhib_diff,-0.07095923346267896,0.07095923346267896
sup_wards_killed_diff,-0.0649461364178688,0.0649461364178688
bot_kills_diff,0.06403687594228355,0.06403687594228355
sup_xp_diff,0.06387493062132243,0.06387493062132243
bot_wards_placed_diff_delta_3min,-0.06292325152911289,0.06292325152911289
mid_solo_kills_diff,-0.06284351141404446,0.06284351141404446
team_minions_killed_diff_delta_3min,0.061591682553669105,0.061591682553669105
mid_minions_killed_diff,0.06101454048629583,0.06101454048629583
team_minions_killed_diff,0.05988966100856894,0.05988966100856894
jg_level_diff_delta_3min,-0.057003206665513784,0.057003206665513784
sup_assists_diff,-0.0569127171078245,0.0569127171078245
bot_minions_killed_diff_delta_3min,0.05646749858942414,0.05646749858942414
bot_xp_diff_delta_3min,-0.05479018610304393,0.05479018610304393
top_deaths_diff,-0.053401595671703994,0.053401595671703994
elders_diff_delta_3min,0.05133546909317029,0.05133546909317029
jg_minions_killed_diff,0.05129586823101197,0.05129586823101197
bot_solo_kills_diff,-0.050656960304992,0.050656960304992
jg_deaths_diff,-0.05047430437963873,0.05047430437963873
team_deaths_diff,-0.04976497270976554,0.04976497270976554
team_total_gold_diff_delta_3min,0.048925975957294844,0.048925975957294844
sup_wards_placed_diff_delta_3min,0.04887500905262755,0.04887500905262755
bot_inhib_diff,-0.047708001498929446,0.047708001498929446
sup_level_diff,0.04754182383423013,0.04754182383423013
mid_level_diff_delta_3min,-0.04753407471437836,0.04753407471437836
top_minions_killed_diff,-0.04720632043213892,0.04720632043213892
bot_level_diff_delta_3min,-0.0470906425416787,0.0470906425416787
team_kills_diff,0.04644493004682908,0.04644493004682908
bot_wards_killed_diff,-0.046047108297803965,0.046047108297803965
mid_deaths_diff_delta_3min,-0.045934178339856864,0.045934178339856864
jg_wards_placed_diff_delta_3min,0.04457038556346065,0.04457038556346065
bot_inner_diff,0.04433806385985114,0.04433806385985114
bot_xp_diff,-0.04090540893045351,0.04090540893045351
inhib_diff,-0.04080862874780857,0.04080862874780857
mid_total_gold_diff_delta_3min,0.04033181757835935,0.04033181757835935
top_solo_kills_diff,-0.03937182895655217,0.03937182895655217
top_total_gold_diff_delta_3min,0.039357439847444414,0.039357439847444414
jg_xp_diff_delta_3min,-0.03853570055396342,0.03853570055396342
bot_kills_diff_delta_3min,0.03844513679124681,0.03844513679124681
sup_minions_killed_diff_delta_3min,-0.03755925230746189,0.03755925230746189
top_jungle_minions_killed_diff,-0.03752313188741586,0.03752313188741586
jg_deaths_diff_delta_3min,-0.03678037782947866,0.03678037782947866
bot_total_gold_diff_delta_3min,0.03648691587581412,0.03648691587581412
jg_total_gold_diff_delta_3min,0.03464853770504419,0.03464853770504419
team_xp_diff_delta_3min,-0.034054347591631486,0.034054347591631486
jg_kills_diff,0.033903072391489084,0.033903072391489084
team_deaths_diff_delta_3min,-0.03373113206937479,0.03373113206937479
top_wards_killed_diff,0.033373951407199724,0.033373951407199724
bot_minions_killed_diff,0.033279942084013,0.033279942084013
top_minions_killed_diff_delta_3min,0.03245437650518849,0.03245437650518849
mid_deaths_diff,-0.03209743438617584,0.03209743438617584
sup_minions_killed_diff,0.03207802140337157,0.03207802140337157
team_assists_diff,-0.03022000114348741,0.03022000114348741
sup_wards_placed_diff,-0.03001498941301739,0.03001498941301739
top_deaths_diff_delta_3min,-0.02847463381143271,0.02847463381143271
tower_diff,-0.027338789905393453,0.027338789905393453
top_level_diff_delta_3min,-0.027253575033557315,0.027253575033557315
mid_inner_diff,0.02606051501278714,0.02606051501278714
dragons_diff_delta_3min,0.02597403170134702,0.02597403170134702
mid_base_diff,-0.025932818845499823,0.025932818845499823
sup_jungle_minions_killed_diff,0.025884664644029533,0.025884664644029533
mid_outer_diff,-0.025541347602951726,0.025541347602951726
top_wards_placed_diff_delta_3min,0.023639255798054603,0.023639255798054603
team_kills_diff_delta_3min,0.023617691517381904,0.023617691517381904
bot_assists_diff_delta_3min,0.02334088833649218,0.02334088833649218
sup_level_diff_delta_3min,-0.02277829118700102,0.02277829118700102
first_blood_diff,0.022730462570573262,0.022730462570573262
team_xp_diff,-0.022616684944546293,0.022616684944546293
bot_outer_diff,0.022358003587681537,0.022358003587681537
mid_wards_killed_diff_delta_3min,-0.022271396138751103,0.022271396138751103
sup_deaths_diff,-0.022155419779018134,0.022155419779018134
elders_diff,-0.021963605206292418,0.021963605206292418
top_assists_diff,-0.021675159301676877,0.021675159301676877
bot_jungle_minions_killed_diff_delta_3min,0.021349666272963357,0.021349666272963357
bot_solo_kills_diff_delta_3min,0.02061224284368476,0.02061224284368476
top_solo_kills_diff_delta_3min,0.018965104260381657,0.018965104260381657
mid_minions_killed_diff_delta_3min,0.018756647837246898,0.018756647837246898
heralds_diff_delta_3min,0.018453322743277496,0.018453322743277496
barons_diff,0.01737925895817092,0.01737925895817092
top_xp_diff_delta_3min,-0.017210365317198696,0.017210365317198696
mid_jungle_minions_killed_diff,0.016698031069546523,0.016698031069546523
jg_solo_kills_diff,0.016306570942432916,0.016306570942432916
jg_wards_killed_diff,-0.01615659350703415,0.01615659350703415
sup_solo_kills_diff,-0.015965491963888346,0.015965491963888346
top_assists_diff_delta_3min,-0.01596123763877298,0.01596123763877298
jg_kills_diff_delta_3min,0.015113427419045849,0.015113427419045849
jg_wards_placed_diff,-0.015039476622902124,0.015039476622902124
tower_diff_delta_3min,0.014665796684276268,0.014665796684276268
bot_deaths_diff,-0.014500187538173302,0.014500187538173302
mid_solo_kills_diff_delta_3min,0.014432396063588706,0.014432396063588706
jg_assists_diff,-0.014206914584222765,0.014206914584222765
inhib_diff_delta_3min,-0.014050687290303992,0.014050687290303992
mid_xp_diff_delta_3min,-0.01359898674635503,0.01359898674635503
jg_solo_kills_diff_delta_3min,0.013069265525806329,0.013069265525806329
bot_wards_placed_diff,-0.012824774222524161,0.012824774222524161
top_xp_diff,0.012161860409997543,0.012161860409997543
bot_assists_diff,-0.011751235309252619,0.011751235309252619
top_jungle_minions_killed_diff_delta_3min,0.01146464085049035,0.01146464085049035
plates_diff_delta_3min,-0.011227611981682754,0.011227611981682754
sup_wards_killed_diff_delta_3min,0.010540846058586328,0.010540846058586328
bot_deaths_diff_delta_3min,-0.010066048680343907,0.010066048680343907
first_tower_diff,0.009790195567775967,0.009790195567775967
sup_total_gold_diff_delta_3min,-0.009108966091540646,0.009108966091540646
mid_xp_diff,-0.009011292487006948,0.009011292487006948
mid_wards_placed_diff,-0.008949193083144145,0.008949193083144145
mid_inhib_diff,0.008855728574068538,0.008855728574068538
top_wards_placed_diff,0.00884842086665832,0.00884842086665832
mid_assists_diff_delta_3min,-0.008048049258864534,0.008048049258864534
mid_kills_diff,-0.00788731080379697,0.00788731080379697
jg_wards_killed_diff_delta_3min,-0.007578886583858563,0.007578886583858563
sup_assists_diff_delta_3min,-0.007505855078768073,0.007505855078768073
mid_jungle_minions_killed_diff_delta_3min,0.006518472397461584,0.006518472397461584
top_wards_killed_diff_delta_3min,-0.006270153558103575,0.006270153558103575
mid_wards_killed_diff,-0.006263982805575426,0.006263982805575426
sup_xp_diff_delta_3min,-0.005847139683290634,0.005847139683290634
mid_wards_placed_diff_delta_3min,0.005489230083611693,0.005489230083611693
jg_assists_diff_delta_3min,-0.0054387542704026435,0.0054387542704026435
jg_minions_killed_diff_delta_3min,0.005214287877365097,0.005214287877365097
top_inner_diff,0.004893590019569465,0.004893590019569465
heralds_diff,0.003917773671501206,0.003917773671501206
sup_jungle_minions_killed_diff_delta_3min,0.0038387099317895757,0.0038387099317895757
bot_base_diff,-0.0034845770653660576,0.0034845770653660576
mid_assists_diff,0.0032742285620771397,0.0032742285620771397
sup_solo_kills_diff_delta_3min,0.003186800466996957,0.003186800466996957
bot_wards_killed_diff_delta_3min,-0.00239145742996443,0.00239145742996443
top_outer_diff,-0.001809253549743627,0.001809253549743627
mid_kills_diff_delta_3min,-0.001614605089127723,0.001614605089127723
top_base_diff,-0.0015801958192501971,0.0015801958192501971
sup_deaths_diff_delta_3min,0.0014622895295608603,0.0014622895295608603
minute,-0.001308137334107583,0.001308137334107583
jg_jungle_minions_killed_diff,0.0011279997417998281,0.0011279997417998281
team_assists_diff_delta_3min,-0.0011156024509539845,0.0011156024509539845
sup_kills_diff_delta_3min,-0.0010750030800339458,0.0010750030800339458
top_kills_diff_delta_3min,0.0006641635084012407,0.0006641635084012407
bot_jungle_minions_killed_diff,-0.000379430888039516,0.000379430888039516
