match_id,rank
NA1_5637538221,DIAMOND
NA1_5635580067,DIAMOND
NA1_5636536853,PLATINUM
NA1_5629707748,IRON
NA1_5638426308,GRANDMASTER
NA1_5637656264,PLATINUM
NA1_5638980613,MASTER
NA1_5637998846,SILVER
NA1_5635070206,CHALLENGER
NA1_5633972884,CHALLENGER
NA1_5634742654,IRON
NA1_5631112916,PLATINUM
NA1_5637303458,MASTER
NA1_5636767646,PLATINUM
NA1_5630379112,IRON
NA1_5635958839,MASTER
NA1_5638204794,IRON
NA1_5637539135,GRANDMASTER
NA1_5635629090,EMERALD
NA1_5636319082,IRON
NA1_5638053072,IRON
NA1_5638239396,PLATINUM
NA1_5636531840,EMERALD
NA1_5637814555,DIAMOND
NA1_5634918943,PLATINUM
NA1_5636076059,GRANDMASTER
NA1_5631415648,GOLD
NA1_5630768900,GRANDMASTER
NA1_5637176837,DIAMOND
NA1_5638747050,GRANDMASTER
NA1_5639186419,SILVER
NA1_5638482163,SILVER
NA1_5631876373,GOLD
NA1_5635046778,MASTER
NA1_5639158522,GOLD
NA1_5637344117,PLATINUM
NA1_5638547132,IRON
NA1_5637487645,DIAMOND
NA1_5632772592,PLATINUM
NA1_5635805372,MASTER
NA1_5632083708,SILVER
NA1_5632355817,GOLD
NA1_5638437678,BRONZE
NA1_5638994947,EMERALD
NA1_5636552018,BRONZE
NA1_5637837965,EMERALD
NA1_5637525200,IRON
NA1_5639137967,BRONZE
NA1_5638311051,PLATINUM
NA1_5638886857,PLATINUM
NA1_5632955723,PLATINUM
NA1_5634880513,IRON
NA1_5633839460,CHALLENGER
NA1_5637447183,PLATINUM
NA1_5630204259,EMERALD
NA1_5634526323,EMERALD
NA1_5635623146,MASTER
NA1_5633675221,PLATINUM
NA1_5634812044,BRONZE
NA1_5633368439,PLATINUM
NA1_5636777633,GRANDMASTER
NA1_5638805910,GOLD
NA1_5628736240,GRANDMASTER
NA1_5639188918,SILVER
NA1_5638565441,SILVER
NA1_5630358914,BRONZE
NA1_5637983986,SILVER
NA1_5637687597,SILVER
NA1_5636652787,DIAMOND
NA1_5632572147,CHALLENGER
NA1_5633401713,GOLD
NA1_5631791111,PLATINUM
NA1_5631929407,BRONZE
NA1_5638833521,GRANDMASTER
NA1_5630051889,MASTER
NA1_5638653556,MASTER
NA1_5637560884,GOLD
NA1_5637966017,SILVER
NA1_5637980940,BRONZE
NA1_5637622265,MASTER
NA1_5637870073,BRONZE
NA1_5637522086,GRANDMASTER
NA1_5638387155,GOLD
NA1_5636780239,PLATINUM
NA1_5638762331,GOLD
NA1_5637631773,MASTER
NA1_5634781573,EMERALD
NA1_5628721685,DIAMOND
NA1_5638267929,DIAMOND
NA1_5638651240,EMERALD
NA1_5634918682,IRON
NA1_5638394985,IRON
NA1_5638716177,IRON
NA1_5637523781,BRONZE
NA1_5633979979,GRANDMASTER
NA1_5639193638,BRONZE
NA1_5637501814,MASTER
NA1_5635821180,PLATINUM
NA1_5635381628,IRON
NA1_5632094321,IRON
NA1_5637971410,SILVER
NA1_5638823682,DIAMOND
NA1_5638981683,MASTER
NA1_5639241780,MASTER
NA1_5638538450,IRON
NA1_5639219009,EMERALD
NA1_5636599602,DIAMOND
NA1_5639203904,DIAMOND
NA1_5639029210,EMERALD
NA1_5631249178,BRONZE
NA1_5638896028,PLATINUM
NA1_5637443145,CHALLENGER
NA1_5639196029,GRANDMASTER
NA1_5639182934,GOLD
NA1_5634676702,DIAMOND
NA1_5635873977,EMERALD
NA1_5630448860,DIAMOND
NA1_5636812657,PLATINUM
NA1_5635180350,IRON
NA1_5639202819,GRANDMASTER
NA1_5633632990,EMERALD
NA1_5639116263,GOLD
NA1_5631155515,DIAMOND
NA1_5637460147,GOLD
NA1_5633794454,SILVER
NA1_5637901127,EMERALD
NA1_5639215885,GRANDMASTER
NA1_5637439195,MASTER
NA1_5633953153,GRANDMASTER
NA1_5631190430,BRONZE
NA1_5638855739,GRANDMASTER
NA1_5638093294,CHALLENGER
NA1_5638614374,DIAMOND
NA1_5629591027,PLATINUM
NA1_5636759324,DIAMOND
NA1_5638699716,PLATINUM
NA1_5638211170,EMERALD
NA1_5631093775,SILVER
NA1_5639057739,SILVER
NA1_5635305551,MASTER
NA1_5636035433,IRON
NA1_5637992160,SILVER
NA1_5628998148,EMERALD
NA1_5632794991,EMERALD
NA1_5637910870,IRON
NA1_5636459348,GOLD
NA1_5638692189,IRON
NA1_5638596965,DIAMOND
NA1_5633965210,SILVER
NA1_5638225871,GOLD
NA1_5633682045,DIAMOND
NA1_5639229810,SILVER
NA1_5639062128,BRONZE
NA1_5637610331,MASTER
NA1_5637927783,SILVER
NA1_5629084969,PLATINUM
NA1_5639169526,DIAMOND
NA1_5634037091,EMERALD
NA1_5638332880,EMERALD
NA1_5638650612,EMERALD
NA1_5637881867,SILVER
NA1_5629105620,CHALLENGER
NA1_5637000489,IRON
NA1_5638885032,BRONZE
NA1_5628791587,BRONZE
NA1_5638906192,GOLD
NA1_5636278900,PLATINUM
NA1_5633649411,GOLD
NA1_5636451505,EMERALD
NA1_5635607606,BRONZE
NA1_5632589546,SILVER
NA1_5637703559,SILVER
NA1_5637947080,PLATINUM
NA1_5634118553,BRONZE
NA1_5637944835,BRONZE
NA1_5634272101,PLATINUM
NA1_5637275123,GOLD
NA1_5638566062,SILVER
NA1_5638273820,GRANDMASTER
NA1_5635770106,SILVER
NA1_5638364826,GOLD
NA1_5633017039,GOLD
NA1_5636807902,SILVER
NA1_5638750553,EMERALD
NA1_5634436614,IRON
NA1_5637806280,DIAMOND
NA1_5637590103,GRANDMASTER
NA1_5637520224,GRANDMASTER
NA1_5631535070,PLATINUM
NA1_5631921841,BRONZE
NA1_5638995350,SILVER
NA1_5638969375,GOLD
NA1_5636875072,MASTER
NA1_5635890326,GRANDMASTER
NA1_5637092010,DIAMOND
NA1_5634935359,CHALLENGER
NA1_5638915117,BRONZE
NA1_5638987152,GRANDMASTER
NA1_5638393452,IRON
NA1_5632626302,EMERALD
NA1_5638129417,SILVER
NA1_5638835795,DIAMOND
NA1_5636224968,EMERALD
NA1_5638292519,GRANDMASTER
NA1_5634488665,DIAMOND
NA1_5637822037,CHALLENGER
NA1_5638256450,SILVER
NA1_5635148921,GRANDMASTER
NA1_5635297498,EMERALD
NA1_5628787167,EMERALD
NA1_5638871427,GRANDMASTER
NA1_5635413357,DIAMOND
NA1_5630335412,GOLD
NA1_5629186973,BRONZE
NA1_5634949795,GRANDMASTER
