model,minutes,rows,auc,log_loss,accuracy,brier
XGBoost,1-5,9600,0.629,0.6669,0.587,0.2372
XGBoost,6-10,9600,0.7326,0.6036,0.6647,0.2088
XGBoost,11-15,9600,0.8226,0.5149,0.7412,0.1721
XGBoost,16-20,9060,0.8619,0.4611,0.7731,0.1521
XGBoost,21-25,8232,0.9054,0.3879,0.8166,0.1254
XGBoost,26-30,5937,0.9088,0.3814,0.8252,0.1222
XGBoost,31-45,4771,0.8664,0.4552,0.7759,0.1505
LogisticRegression,1-5,9600,0.6244,0.6687,0.5846,0.2381
LogisticRegression,6-10,9600,0.7298,0.6057,0.6627,0.2097
LogisticRegression,11-15,9600,0.8229,0.5139,0.7408,0.172
LogisticRegression,16-20,9060,0.8628,0.4589,0.7721,0.1513
LogisticRegression,21-25,8232,0.9062,0.3847,0.8175,0.1245
LogisticRegression,26-30,5937,0.9104,0.3771,0.8275,0.1213
LogisticRegression,31-45,4771,0.8835,0.426,0.7927,0.1401
