feature,gain,weight,cover
team_total_gold_diff,499.94775390625,483.0,6070.46044921875
team_xp_diff,267.5680847167969,279.0,2738.589599609375
team_kills_diff,233.1411590576172,66.0,2243.569091796875
team_deaths_diff,72.4813461303711,100.0,999.5223388671875
dragons_diff,69.95600891113281,542.0,4515.00537109375
team_total_gold_diff_delta_3min,35.67953109741211,174.0,3203.07763671875
team_damage_done_to_champions_diff_delta_3min,29.434011459350586,267.0,2679.1025390625
team_kills_diff_delta_3min,19.666200637817383,60.0,1560.4007568359375
dragons_diff_delta_3min,12.090154647827148,74.0,2560.1650390625
jg_total_gold_diff,11.752143859863281,368.0,2767.32763671875
plates_diff,11.548600196838379,386.0,1588.235107421875
team_deaths_diff_delta_3min,9.494629859924316,64.0,894.01953125
top_level_diff,9.39840316772461,52.0,4591.59521484375
minute,7.804501056671143,226.0,1120.388916015625
mid_minions_killed_diff,7.698756217956543,415.0,2321.76318359375
bot_minions_killed_diff,7.447758197784424,335.0,2252.72119140625
team_xp_diff_delta_3min,6.968864917755127,76.0,989.8063354492188
bot_total_gold_diff,6.646643161773682,455.0,1547.44970703125
bot_kills_diff,6.42236328125,295.0,1797.95556640625
inhib_diff_delta_3min,6.391246795654297,1.0,24.51873016357422
team_damage_done_to_champions_diff,6.257613182067871,273.0,963.213134765625
top_solo_kills_diff,5.813193321228027,285.0,2726.97314453125
jg_xp_diff,5.6933913230896,145.0,1113.1134033203125
jg_level_diff,5.648128509521484,68.0,1366.975830078125
jg_solo_kills_diff,5.447093486785889,264.0,1839.1363525390625
team_minions_killed_diff,5.41098165512085,293.0,1000.79833984375
mid_solo_kills_diff,5.165299892425537,152.0,2976.706298828125
mid_level_diff,4.613771915435791,118.0,1656.5863037109375
first_tower_diff,4.446047782897949,75.0,461.6152038574219
team_minions_killed_diff_delta_3min,4.356779098510742,68.0,1559.1385498046875
mid_xp_diff_delta_3min,4.2741618156433105,104.0,1622.2247314453125
top_wards_killed_diff,4.237416744232178,205.0,2054.8056640625
